"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,2.841877E-06
0,6,0.0001249617
0,9,0.0008487697
0,12,0.002966151
0,15,0.007402485
0,18,0.01506074
0,21,0.0266934
0,24,0.04281996
0,27,0.06369258
0,30,0.08930027
0,33,0.1193993
0,36,0.1535578
0,39,0.1912045
0,42,0.231678
0,45,0.2742706
0,48,0.3182661
0,51,0.3629706
0,54,0.407735
0,57,0.4519711
0,60,0.4951611
0,63,0.5368631
0,66,0.5767117
0,69,0.6144153
0,72,0.649752
0,75,0.6825638
0,78,0.7127496
0,81,0.7402574
0,84,0.7650775
0,87,0.7872361
0,90,0.8067891
0,93,0.8238162
0,96,0.8384159
0,99,0.8507002
0,102,0.8607915
0,105,0.8688189
0,108,0.8749153
0,111,0.8792152
0,114,0.8818526
0,117,0.8829591
0,120,0.8826632
0,135,0.8643074
0,150,0.8271023
0,165,0.7806886
0,180,0.73138
0,195,0.6829605
0,210,0.6374614
0,225,0.5957814
0,240,0.5581341
0,255,0.5243526
0,270,0.4940837
0,285,0.4669064
0,300,0.4424
0,315,0.4201779
0,330,0.3999027
0,345,0.3812889
0,360,0.3640999
0,375,0.348142
0,390,0.3332575
0,405,0.3193186
0,420,0.3062208
0,435,0.2938787
0,450,0.2822216
0,465,0.2711904
0,480,0.260735
0,495,0.2508124
0,510,0.2413852
0,525,0.2324205
0,540,0.2238891
0,555,0.2157648
0,570,0.2080237
0,585,0.2006443
0,600,0.1936067
0,615,0.1868926
0,630,0.1804852
0,645,0.1743689
0,660,0.168529
0,675,0.162952
0,690,0.1576251
0,705,0.1525363
0,720,0.1476744
0,735,0.1430285
0,750,0.1385887
0,765,0.1343451
0,780,0.1302885
0,795,0.1264102
0,810,0.1227017
0,825,0.119155
0,840,0.1157623
0,855,0.1125162
0,870,0.1094096
0,885,0.1064358
0,900,0.1035882
0,915,0.1008607
0,930,0.09824733
0,945,0.0957424
0,960,0.09334051
0,975,0.09103651
0,990,0.08882549
0,1005,0.08670274
0,1020,0.08466382
0,1035,0.08270448
0,1050,0.08082068
0,1065,0.07900857
0,1080,0.07726452
0,1095,0.07558504
0,1110,0.07396687
0,1125,0.07240685
0,1140,0.07090204
0,1155,0.06944963
0,1170,0.06804693
0,1185,0.06669144
0,1200,0.06538075
0,1215,0.0641126
0,1230,0.06288484
0,1245,0.06169544
0,1260,0.06054247
0,1275,0.05942411
0,1290,0.05833864
0,1305,0.05728443
0,1320,0.05625995
0,1335,0.05526374
0,1350,0.05429442
0,1365,0.0533507
0,1380,0.05243135
0,1395,0.05153522
0,1410,0.0506612
0,1425,0.04980828
0,1440,0.04897548
0,1455,0.04816187
0,1470,0.0473666
0,1485,0.04658886
0,1500,0.04582787
0,1515,0.0450829
0,1530,0.04435329
0,1545,0.04363838
0,1560,0.04293757
0,1575,0.0422503
0,1590,0.04157602
0,1605,0.04091423
0,1620,0.04026446
0,1635,0.03962626
0,1650,0.03899921
0,1665,0.03838293
0,1680,0.03777702
0,1695,0.03718115
0,1710,0.03659499
0,1725,0.03601823
0,1740,0.03545057
0,1755,0.03489176
0,1770,0.03434152
0,1785,0.03379962
0,1800,0.03326583
0,1815,0.03273994
0,1830,0.03222175
0,1845,0.03171106
0,1860,0.0312077
0,1875,0.0307115
0,1890,0.03022231
0,1905,0.02973997
0,1920,0.02926434
1,0,0
1,3,2.026854E-06
1,6,8.382293E-05
1,9,0.0005588455
1,12,0.001960558
1,15,0.004945706
1,18,0.01017499
1,21,0.01820462
1,24,0.02941525
1,27,0.0439808
1,30,0.06187011
1,33,0.08286986
1,36,0.1066206
1,39,0.1326581
1,42,0.1604555
1,45,0.1894611
1,48,0.2191304
1,51,0.2489499
1,54,0.2784543
1,57,0.3072365
1,60,0.3349521
1,63,0.36132
1,66,0.3861198
1,69,0.4091878
1,72,0.4304109
1,75,0.4497208
1,78,0.467088
1,81,0.4825158
1,84,0.4960341
1,87,0.5076951
1,90,0.5175682
1,93,0.5257358
1,96,0.5322901
1,99,0.5373299
1,102,0.5409582
1,105,0.5432796
1,108,0.5443991
1,111,0.5444202
1,114,0.5434442
1,117,0.5415688
1,120,0.5388875
1,135,0.5163428
1,150,0.4848722
1,165,0.4506386
1,180,0.4172758
1,195,0.386621
1,210,0.3593639
1,225,0.3355345
1,240,0.3148314
1,255,0.2968242
1,270,0.2810672
1,285,0.2671555
1,300,0.2547464
1,315,0.243562
1,330,0.2333833
1,345,0.2240403
1,360,0.2154019
1,375,0.2073673
1,390,0.1998583
1,405,0.1928137
1,420,0.1861846
1,435,0.1799316
1,450,0.174022
1,465,0.168428
1,480,0.163126
1,495,0.1580951
1,510,0.153317
1,525,0.148775
1,540,0.1444542
1,555,0.1403408
1,570,0.1364225
1,585,0.1326876
1,600,0.1291257
1,615,0.1257268
1,630,0.122482
1,645,0.1193828
1,660,0.1164215
1,675,0.1135909
1,690,0.1108843
1,705,0.1082952
1,720,0.1058178
1,735,0.1034466
1,750,0.1011763
1,765,0.09900188
1,780,0.09691861
1,795,0.09492198
1,810,0.09300768
1,825,0.09117156
1,840,0.08940967
1,855,0.08771824
1,870,0.08609362
1,885,0.08453234
1,900,0.08303106
1,915,0.08158661
1,930,0.08019592
1,945,0.0788561
1,960,0.07756435
1,975,0.07631804
1,990,0.07511464
1,1005,0.07395175
1,1020,0.07282709
1,1035,0.0717385
1,1050,0.07068393
1,1065,0.06966141
1,1080,0.06866912
1,1095,0.06770528
1,1110,0.06676827
1,1125,0.06585654
1,1140,0.0649686
1,1155,0.06410307
1,1170,0.06325864
1,1185,0.06243408
1,1200,0.06162823
1,1215,0.06084
1,1230,0.06006837
1,1245,0.05931238
1,1260,0.05857113
1,1275,0.05784376
1,1290,0.0571295
1,1305,0.05642759
1,1320,0.05573736
1,1335,0.05505815
1,1350,0.05438937
1,1365,0.05373044
1,1380,0.05308084
1,1395,0.0524401
1,1410,0.05180776
1,1425,0.05118339
1,1440,0.05056662
1,1455,0.04995708
1,1470,0.04935443
1,1485,0.04875838
1,1500,0.04816864
1,1515,0.04758495
1,1530,0.04700707
1,1545,0.04643479
1,1560,0.04586789
1,1575,0.04530621
1,1590,0.04474957
1,1605,0.04419782
1,1620,0.04365082
1,1635,0.04310846
1,1650,0.04257062
1,1665,0.0420372
1,1680,0.04150812
1,1695,0.04098329
1,1710,0.04046264
1,1725,0.03994611
1,1740,0.03943365
1,1755,0.03892521
1,1770,0.03842075
1,1785,0.03792024
1,1800,0.03742364
