"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,2.81134E-05
0,12,0.0007358051
0,18,0.004141668
0,24,0.01271116
0,30,0.02808196
0,36,0.05052212
0,42,0.07908103
0,48,0.1120506
0,54,0.1474366
0,60,0.183314
0,66,0.2180451
0,72,0.2503831
0,78,0.2794895
0,84,0.3048988
0,90,0.326448
0,96,0.3442022
0,102,0.3583948
0,108,0.3693674
0,114,0.3775204
0,120,0.3832745
0,126,0.3870434
0,132,0.3892156
0,138,0.3901427
0,144,0.3901333
0,150,0.3894509
0,156,0.3883143
0,162,0.3869004
0,168,0.3853485
0,174,0.3837646
0,180,0.382227
0,186,0.3807911
0,192,0.379494
0,198,0.3783581
0,204,0.3773921
0,210,0.3765943
0,216,0.3759592
0,222,0.375479
0,228,0.3751435
0,234,0.3749426
0,240,0.3748659
0,246,0.3749031
0,252,0.3750444
0,258,0.3752806
0,264,0.375603
0,270,0.3760039
0,276,0.376476
0,282,0.3770127
0,288,0.3776083
0,294,0.3782573
0,300,0.378955
0,306,0.3796971
0,312,0.3804797
0,318,0.3812994
0,324,0.382153
0,330,0.3830378
0,336,0.3839513
0,342,0.3848912
0,348,0.3858555
0,354,0.3868423
0,360,0.3878501
0,366,0.3888772
0,372,0.3899225
0,378,0.3909846
0,384,0.3920625
0,390,0.393155
0,396,0.3942614
0,402,0.3953808
0,408,0.3965123
0,414,0.3976553
0,420,0.3988092
0,426,0.3999733
0,432,0.4011472
0,438,0.4023301
0,444,0.4035218
0,450,0.4047218
0,456,0.4059296
0,462,0.4071449
0,468,0.4083673
0,474,0.4095965
0,480,0.4108322
0,486,0.412074
0,492,0.4133217
0,498,0.414575
0,504,0.4158337
0,510,0.4170975
0,516,0.4183663
0,522,0.4196396
0,528,0.4209175
0,534,0.4221995
0,540,0.4234857
0,546,0.4247757
0,552,0.4260694
0,558,0.4273667
0,564,0.4286672
0,570,0.429971
0,576,0.4312778
0,582,0.4325874
0,588,0.4338998
0,594,0.4352147
0,600,0.436532
0,606,0.4378516
0,612,0.4391733
0,618,0.440497
0,624,0.4418225
0,630,0.4431498
0,636,0.4444786
0,642,0.4458089
0,648,0.4471405
0,654,0.4484733
0,660,0.4498073
0,666,0.4511421
0,672,0.4524778
0,678,0.4538141
0,684,0.4551511
0,690,0.4564886
0,696,0.4578264
0,702,0.4591644
0,708,0.4605026
0,714,0.4618407
0,720,0.4631788
0,726,0.4645166
0,732,0.4658542
0,738,0.4671912
0,744,0.4685278
0,750,0.4698637
0,756,0.4711988
0,762,0.4725331
0,768,0.4738664
0,774,0.4751986
0,780,0.4765296
0,786,0.4778594
0,792,0.4791878
0,798,0.4805146
0,804,0.4818399
0,810,0.4831635
0,816,0.4844853
0,822,0.4858053
0,828,0.4871232
0,834,0.4884391
0,840,0.4897528
0,846,0.4910642
0,852,0.4923733
0,858,0.4936799
0,864,0.4949839
0,870,0.4962853
0,876,0.497584
0,882,0.4988798
0,888,0.5001727
0,894,0.5014626
0,900,0.5027495
0,906,0.5040331
0,912,0.5053135
0,918,0.5065905
0,924,0.5078641
0,930,0.5091342
0,936,0.5104007
0,942,0.5116634
0,948,0.5129225
0,954,0.5141776
0,960,0.5154289
0,966,0.5166761
0,972,0.5179192
0,978,0.5191582
0,984,0.520393
0,990,0.5216234
0,996,0.5228494
0,1002,0.5240709
0,1008,0.525288
0,1014,0.5265003
0,1020,0.5277081
0,1026,0.5289111
0,1032,0.5301092
0,1038,0.5313024
0,1044,0.5324907
0,1050,0.5336739
0,1056,0.5348521
0,1062,0.536025
0,1068,0.5371928
0,1074,0.5383553
0,1080,0.5395124
0,1086,0.5406641
0,1092,0.5418103
0,1098,0.5429509
0,1104,0.544086
0,1110,0.5452154
0,1116,0.5463391
0,1122,0.547457
0,1128,0.5485691
0,1134,0.5496752
0,1140,0.5507755
0,1146,0.5518697
0,1152,0.5529579
0,1158,0.55404
0,1164,0.5551159
0,1170,0.5561857
0,1176,0.5572491
0,1182,0.5583063
0,1188,0.559357
0,1194,0.5604015
0,1200,0.5614395
0,1206,0.5624709
0,1212,0.5634958
0,1218,0.5645142
0,1224,0.5655259
0,1230,0.5665309
0,1236,0.5675293
0,1242,0.5685208
0,1248,0.5695056
0,1254,0.5704836
0,1260,0.5714547
0,1266,0.5724189
0,1272,0.5733761
0,1278,0.5743264
0,1284,0.5752696
0,1290,0.5762058
0,1296,0.577135
0,1302,0.5780569
0,1308,0.5789718
0,1314,0.5798795
0,1320,0.5807799
0,1326,0.5816731
0,1332,0.582559
0,1338,0.5834377
0,1344,0.584309
0,1350,0.585173
0,1356,0.5860295
0,1362,0.5868787
0,1368,0.5877205
0,1374,0.5885547
0,1380,0.5893816
0,1386,0.5902008
0,1392,0.5910127
0,1398,0.5918169
0,1404,0.5926136
0,1410,0.5934026
0,1416,0.5941842
0,1422,0.594958
0,1428,0.5957242
0,1434,0.5964828
0,1440,0.5972337
0,1446,0.5980036
0,1452,0.5994186
0,1458,0.6034349
0,1464,0.6124669
0,1470,0.6281512
0,1476,0.6507995
0,1482,0.6795226
0,1488,0.7126676
0,1494,0.7482792
0,1500,0.7844529
0,1506,0.8195572
0,1512,0.8523402
0,1518,0.8819532
0,1524,0.9079179
0,1530,0.9300589
0,1536,0.94843
0,1542,0.9632546
0,1548,0.9748673
0,1554,0.9836623
0,1560,0.990056
0,1566,0.9944593
0,1572,0.9972585
0,1578,0.998804
0,1584,0.9994034
0,1590,0.9993199
0,1596,0.998772
0,1602,0.9979367
0,1608,0.9969531
0,1614,0.9959275
0,1620,0.9949384
0,1626,0.9940411
0,1632,0.9932731
0,1638,0.9926568
0,1644,0.9922012
0,1650,0.9919049
0,1656,0.991762
0,1662,0.9917651
0,1668,0.9919044
0,1674,0.9921694
0,1680,0.99255
0,1686,0.993036
0,1692,0.9936175
0,1698,0.9942856
0,1704,0.9950315
0,1710,0.9958476
0,1716,0.9967266
0,1722,0.9976622
0,1728,0.9986483
0,1734,0.9996799
0,1740,1.000752
0,1746,1.001861
0,1752,1.003002
0,1758,1.004172
0,1764,1.005368
0,1770,1.006588
0,1776,1.007828
0,1782,1.009087
0,1788,1.010362
0,1794,1.011652
0,1800,1.012956
0,1806,1.014271
0,1812,1.015596
0,1818,1.016931
0,1824,1.018273
0,1830,1.019623
0,1836,1.020979
0,1842,1.022341
0,1848,1.023707
0,1854,1.025077
0,1860,1.02645
0,1866,1.027826
0,1872,1.029204
0,1878,1.030584
0,1884,1.031965
0,1890,1.033347
0,1896,1.03473
0,1902,1.036113
0,1908,1.037495
0,1914,1.038877
0,1920,1.040258
0,1926,1.041638
0,1932,1.043017
0,1938,1.044394
0,1944,1.045769
0,1950,1.047142
0,1956,1.048513
0,1962,1.049881
0,1968,1.051247
0,1974,1.05261
0,1980,1.05397
0,1986,1.055327
0,1992,1.056681
0,1998,1.058031
0,2004,1.059377
0,2010,1.06072
0,2016,1.062059
0,2022,1.063393
0,2028,1.064724
0,2034,1.06605
0,2040,1.067372
0,2046,1.068688
0,2052,1.069998
0,2058,1.0713
0,2064,1.072592
0,2070,1.073874
0,2076,1.075145
0,2082,1.076404
0,2088,1.077652
0,2094,1.078891
0,2100,1.080119
0,2106,1.081336
0,2112,1.082543
0,2118,1.083738
0,2124,1.084922
0,2130,1.086096
0,2136,1.087259
0,2142,1.088411
0,2148,1.089553
0,2154,1.090686
0,2160,1.091808
0,2166,1.092919
0,2172,1.094021
0,2178,1.095113
0,2184,1.096194
0,2190,1.097265
0,2196,1.098327
0,2202,1.099378
0,2208,1.100419
0,2214,1.101451
0,2220,1.102472
0,2226,1.103484
0,2232,1.104487
0,2238,1.105479
0,2244,1.106462
0,2250,1.107436
0,2256,1.1084
0,2262,1.109354
0,2268,1.110299
0,2274,1.111235
0,2280,1.112161
0,2286,1.113078
0,2292,1.113986
0,2298,1.114884
0,2304,1.115774
0,2310,1.116654
0,2316,1.117525
0,2322,1.118387
0,2328,1.11924
0,2334,1.120084
0,2340,1.120918
0,2346,1.121744
0,2352,1.122561
0,2358,1.12337
0,2364,1.124169
0,2370,1.12496
0,2376,1.125741
0,2382,1.126515
0,2388,1.127279
0,2394,1.128035
0,2400,1.128782
0,2406,1.12952
0,2412,1.13025
0,2418,1.130972
0,2424,1.131685
0,2430,1.132389
0,2436,1.133085
0,2442,1.133773
0,2448,1.134452
0,2454,1.135123
0,2460,1.135786
0,2466,1.13644
0,2472,1.137086
0,2478,1.137724
0,2484,1.138354
0,2490,1.138976
0,2496,1.139589
0,2502,1.140195
0,2508,1.140792
0,2514,1.141381
0,2520,1.141963
0,2526,1.142536
0,2532,1.143101
0,2538,1.143659
0,2544,1.144208
0,2550,1.14475
0,2556,1.145284
0,2562,1.14581
0,2568,1.146328
0,2574,1.146839
0,2580,1.147342
0,2586,1.147837
0,2592,1.148324
0,2598,1.148804
0,2604,1.149276
0,2610,1.14974
0,2616,1.150197
0,2622,1.150647
0,2628,1.151088
0,2634,1.151523
0,2640,1.151949
0,2646,1.152369
0,2652,1.152781
0,2658,1.153185
0,2664,1.153582
0,2670,1.153972
0,2676,1.154354
0,2682,1.154729
0,2688,1.155097
0,2694,1.155457
0,2700,1.15581
0,2706,1.156156
0,2712,1.156494
0,2718,1.156826
0,2724,1.15715
0,2730,1.157467
0,2736,1.157777
0,2742,1.15808
0,2748,1.158375
0,2754,1.158664
0,2760,1.158945
0,2766,1.15922
0,2772,1.159487
0,2778,1.159747
0,2784,1.160001
0,2790,1.160247
0,2796,1.160487
0,2802,1.160719
0,2808,1.160945
0,2814,1.161163
0,2820,1.161375
0,2826,1.16158
0,2832,1.161778
0,2838,1.16197
0,2844,1.162154
0,2850,1.162332
0,2856,1.162502
0,2862,1.162665
0,2868,1.162821
0,2874,1.162969
0,2880,1.163108
0,2886,1.163264
0,2892,1.164062
0,2898,1.167458
0,2904,1.175867
0,2910,1.190925
0,2916,1.212945
0,2922,1.241036
0,2928,1.273546
0,2934,1.30852
0,2940,1.344053
0,2946,1.378514
0,2952,1.410652
0,2958,1.439616
0,2964,1.464929
0,2970,1.486416
0,2976,1.504131
0,2982,1.518296
0,2988,1.529246
0,2994,1.537376
0,3000,1.543102
0,3006,1.546835
0,3012,1.548961
0,3018,1.549831
0,3024,1.549752
0,3030,1.548988
0,3036,1.547758
0,3042,1.546237
0,3048,1.544566
0,3054,1.54285
0,3060,1.541169
0,3066,1.539578
0,3072,1.538113
0,3078,1.536798
0,3084,1.535642
0,3090,1.534643
0,3096,1.533796
0,3102,1.533092
0,3108,1.532523
0,3114,1.532078
0,3120,1.531746
0,3126,1.531518
0,3132,1.531383
0,3138,1.531333
0,3144,1.531359
0,3150,1.531454
0,3156,1.53161
0,3162,1.53182
0,3168,1.53208
0,3174,1.532383
0,3180,1.532725
0,3186,1.533102
0,3192,1.53351
0,3198,1.533945
0,3204,1.534405
0,3210,1.534887
0,3216,1.535388
0,3222,1.535905
0,3228,1.536439
0,3234,1.536985
0,3240,1.537543
0,3246,1.538112
0,3252,1.538689
0,3258,1.539274
0,3264,1.539866
0,3270,1.540464
0,3276,1.541066
0,3282,1.541673
0,3288,1.542283
0,3294,1.542896
0,3300,1.543511
0,3306,1.544127
0,3312,1.544745
0,3318,1.545363
0,3324,1.545981
0,3330,1.546599
0,3336,1.547216
0,3342,1.547833
0,3348,1.548448
0,3354,1.54906
0,3360,1.54967
0,3366,1.550273
0,3372,1.55087
0,3378,1.55146
0,3384,1.552041
0,3390,1.552615
0,3396,1.553179
0,3402,1.553735
0,3408,1.554281
0,3414,1.554818
0,3420,1.555345
0,3426,1.555862
0,3432,1.55637
0,3438,1.556868
0,3444,1.557358
0,3450,1.557838
0,3456,1.558308
0,3462,1.558769
0,3468,1.55922
0,3474,1.559662
0,3480,1.560094
0,3486,1.560516
0,3492,1.560928
0,3498,1.561331
0,3504,1.561723
0,3510,1.562106
0,3516,1.562479
0,3522,1.562842
0,3528,1.563197
0,3534,1.563542
0,3540,1.563877
0,3546,1.564204
0,3552,1.56452
0,3558,1.564827
0,3564,1.565125
0,3570,1.565413
0,3576,1.565691
0,3582,1.56596
0,3588,1.566219
0,3594,1.56647
0,3600,1.56671
0,3606,1.566942
0,3612,1.567165
0,3618,1.567378
0,3624,1.567582
0,3630,1.567776
0,3636,1.567962
0,3642,1.568138
0,3648,1.568305
0,3654,1.568464
0,3660,1.568613
0,3666,1.568753
0,3672,1.568884
