"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,4.553374E-07
0,6,1.74359E-05
0,9,0.0001105326
0,12,0.0003776954
0,15,0.000940814
0,18,0.001928998
0,21,0.003463943
0,24,0.005649237
0,27,0.008563388
0,30,0.01225618
0,33,0.01674785
0,36,0.02203051
0,39,0.02807112
0,42,0.03481561
0,45,0.04219336
0,48,0.05012185
0,51,0.05851095
0,54,0.06726677
0,57,0.07629498
0,60,0.08550345
0,63,0.09480432
0,66,0.1041156
0,69,0.1133623
0,72,0.122477
0,75,0.1314002
0,78,0.1400806
0,81,0.1484747
0,84,0.1565468
0,87,0.1642681
0,90,0.1716167
0,93,0.1785769
0,96,0.1851383
0,99,0.1912957
0,102,0.197048
0,105,0.202398
0,108,0.2073518
0,111,0.211918
0,114,0.2161077
0,117,0.2199336
0,120,0.2234101
0,135,0.2361105
0,150,0.2425462
0,165,0.2446946
0,180,0.2441831
0,195,0.2422167
0,210,0.2396082
0,225,0.2368552
0,240,0.234229
0,255,0.2318548
0,270,0.2297719
0,285,0.2279754
0,300,0.2264402
0,315,0.2251348
0,330,0.2240277
0,345,0.2230907
0,360,0.2222993
0,375,0.2216326
0,390,0.2210734
0,405,0.2206073
0,420,0.2202221
0,435,0.2199079
0,450,0.2196561
0,465,0.2194595
0,480,0.2193122
0,495,0.2192088
0,510,0.219145
0,525,0.2191167
0,540,0.2191208
0,555,0.2191541
0,570,0.2192142
0,585,0.2192986
0,600,0.2194054
0,615,0.2195325
0,630,0.2196783
0,645,0.2198411
0,660,0.2200196
0,675,0.2202123
0,690,0.220418
0,705,0.2206355
0,720,0.2208636
0,735,0.2211012
0,750,0.2213473
0,765,0.2216008
0,780,0.2218609
0,795,0.2221265
0,810,0.2223969
0,825,0.222671
0,840,0.2229481
0,855,0.2232274
0,870,0.223508
0,885,0.2237892
0,900,0.2240702
0,915,0.2243503
0,930,0.2246289
0,945,0.2249051
0,960,0.2251783
0,975,0.225448
0,990,0.2257134
0,1005,0.2259739
0,1020,0.226229
0,1035,0.2264781
0,1050,0.2267206
0,1065,0.2269561
0,1080,0.2271838
0,1095,0.2274035
0,1110,0.2276146
0,1125,0.2278166
0,1140,0.2280091
0,1155,0.2281917
0,1170,0.2283639
0,1185,0.2285254
0,1200,0.2286758
0,1215,0.2288147
0,1230,0.2289419
0,1245,0.2290569
0,1260,0.2291594
0,1275,0.2292492
0,1290,0.2293261
0,1305,0.2293896
0,1320,0.2294397
0,1335,0.229476
0,1350,0.2294984
0,1365,0.2295067
0,1380,0.2295006
0,1395,0.2294801
0,1410,0.2294448
0,1425,0.2293948
0,1440,0.2293299
1,0,0
1,3,4.369095E-07
1,6,2.072689E-05
1,9,0.0001432321
1,12,0.0005114772
1,15,0.001306176
1,18,0.002717323
1,21,0.004920041
1,24,0.008057342
1,27,0.01222958
1,30,0.01749008
1,33,0.02384545
1,36,0.03125953
1,39,0.03965969
1,42,0.04894425
1,45,0.05899024
1,48,0.06966083
1,51,0.08081204
1,54,0.09229852
1,57,0.1039782
1,60,0.1157161
1,63,0.1273871
1,66,0.1388779
1,69,0.1500882
1,72,0.1609315
1,75,0.171335
1,78,0.1812394
1,81,0.1905985
1,84,0.1993781
1,87,0.2075552
1,90,0.2151169
1,93,0.222059
1,96,0.2283852
1,99,0.234106
1,102,0.2392373
1,105,0.2437997
1,108,0.2478175
1,111,0.2513176
1,114,0.2543291
1,117,0.2568825
1,120,0.2590087
1,135,0.2643196
1,150,0.2634158
1,165,0.2592797
1,180,0.2539747
1,195,0.2487225
1,210,0.2441217
1,225,0.2403848
1,240,0.2375092
1,255,0.235393
1,270,0.233904
1,285,0.2329134
1,300,0.2323108
1,315,0.2320071
1,330,0.2319335
1,345,0.2320376
1,360,0.2322806
1,375,0.2326334
1,390,0.2330743
1,405,0.2335871
1,420,0.2341596
1,435,0.2347825
1,450,0.2354487
1,465,0.2361524
1,480,0.2368891
1,495,0.2376551
1,510,0.2384474
1,525,0.2392633
1,540,0.2401007
1,555,0.2409574
1,570,0.2418318
1,585,0.2427222
1,600,0.2436271
1,615,0.2445452
1,630,0.2454751
1,645,0.2464155
1,660,0.2473652
1,675,0.2483231
1,690,0.2492881
1,705,0.250259
1,720,0.2512347
1,735,0.2522143
1,750,0.2531967
1,765,0.2541808
1,780,0.2551657
1,795,0.2561504
1,810,0.257134
1,825,0.2581155
1,840,0.259094
1,855,0.2600687
1,870,0.2610386
1,885,0.2620029
1,900,0.2629607
1,915,0.2639113
1,930,0.2648538
1,945,0.2657875
1,960,0.2667115
1,975,0.2676251
1,990,0.2685277
1,1005,0.2694185
1,1020,0.2702969
1,1035,0.2711622
1,1050,0.2720136
1,1065,0.2728508
1,1080,0.2736729
1,1095,0.2744795
1,1110,0.27527
1,1125,0.2760439
1,1140,0.2768006
1,1155,0.2775397
1,1170,0.2782606
1,1185,0.2789631
1,1200,0.2796465
1,1215,0.2803105
1,1230,0.2809547
1,1245,0.2815788
1,1260,0.2821823
1,1275,0.282765
1,1290,0.2833265
1,1305,0.2838666
1,1320,0.2843849
1,1335,0.2848813
1,1350,0.2853554
1,1365,0.2858071
1,1380,0.2862362
1,1395,0.2866423
1,1410,0.2870256
1,1425,0.2873856
1,1440,0.2877223
2,0,0
2,3,5.600057E-07
2,6,2.261363E-05
2,9,0.0001476874
2,12,0.0005127829
2,15,0.001288596
2,18,0.002655176
2,21,0.004781538
2,24,0.007811553
2,27,0.01185534
2,30,0.01698492
2,33,0.02323346
2,36,0.03059723
2,39,0.03903929
2,42,0.04849456
2,45,0.05887542
2,48,0.0700774
2,51,0.08198453
2,54,0.09447423
2,57,0.1074214
2,60,0.1207021
2,63,0.1341961
2,66,0.1477894
2,69,0.1613754
2,72,0.1748566
2,75,0.1881449
2,78,0.2011624
2,81,0.213841
2,84,0.2261226
2,87,0.2379588
2,90,0.2493103
2,93,0.2601465
2,96,0.2704445
2,99,0.2801891
2,102,0.2893712
2,105,0.2979879
2,108,0.3060413
2,111,0.313538
2,114,0.3204885
2,117,0.3269063
2,120,0.3328078
2,135,0.3552462
2,150,0.3679028
2,165,0.3735614
2,180,0.3746633
2,195,0.3731098
2,210,0.3702583
2,225,0.3669925
2,240,0.3637953
2,255,0.3609133
2,270,0.3584533
2,285,0.3564368
2,300,0.3548392
2,315,0.3536149
2,330,0.3527129
2,345,0.3520842
2,360,0.3516853
2,375,0.3514794
2,390,0.3514354
2,405,0.3515282
2,420,0.351737
2,435,0.352045
2,450,0.3524382
2,465,0.3529054
2,480,0.353437
2,495,0.3540251
2,510,0.3546631
2,525,0.3553452
2,540,0.3560668
2,555,0.3568233
2,570,0.3576113
2,585,0.3584273
2,600,0.3592685
2,615,0.3601321
2,630,0.3610158
2,645,0.3619173
2,660,0.3628346
2,675,0.3637657
2,690,0.3647088
2,705,0.3656622
2,720,0.3666242
2,735,0.3675935
2,750,0.3685683
2,765,0.3695474
2,780,0.3705294
2,795,0.3715128
2,810,0.3724965
2,825,0.3734792
2,840,0.3744597
2,855,0.3754367
2,870,0.3764093
2,885,0.3773762
2,900,0.3783364
2,915,0.3792889
2,930,0.3802326
2,945,0.3811665
2,960,0.3820898
2,975,0.3830014
2,990,0.3839005
2,1005,0.3847862
2,1020,0.3856575
2,1035,0.3865139
2,1050,0.3873543
2,1065,0.3881781
2,1080,0.3889845
2,1095,0.3897728
2,1110,0.3905424
2,1125,0.3912925
2,1140,0.3920225
2,1155,0.3927318
2,1170,0.3934199
2,1185,0.3940861
2,1200,0.39473
2,1215,0.395351
2,1230,0.3959487
2,1245,0.3965226
2,1260,0.3970721
2,1275,0.3975971
2,1290,0.398097
2,1305,0.3985715
2,1320,0.3990203
2,1335,0.399443
2,1350,0.3998393
2,1365,0.400209
2,1380,0.4005519
2,1395,0.4008676
2,1410,0.4011559
2,1425,0.4014168
2,1440,0.40165
3,0,0
3,3,1.33779E-07
3,6,5.656776E-06
3,9,3.864634E-05
3,12,0.0001403376
3,15,0.0003673769
3,18,0.0007845505
3,21,0.001456684
3,24,0.002441523
3,27,0.003784401
3,30,0.00551507
3,33,0.007646589
3,36,0.01017592
3,39,0.01308581
3,42,0.0163473
3,45,0.01992264
3,48,0.02376809
3,51,0.02783651
3,54,0.03207949
3,57,0.03644918
3,60,0.04089963
3,63,0.04538787
3,66,0.04987454
3,69,0.05432436
3,72,0.05870633
3,75,0.06299378
3,78,0.06716425
3,81,0.07119934
3,84,0.07508441
3,87,0.07880828
3,90,0.0823629
3,93,0.08574299
3,96,0.08894571
3,99,0.09197022
3,102,0.09481736
3,105,0.09748947
3,108,0.09999017
3,111,0.1023241
3,114,0.1044967
3,117,0.1065141
3,120,0.1083827
3,135,0.1157402
3,150,0.1204324
3,165,0.1232611
3,180,0.1248763
3,195,0.1257595
3,210,0.1262375
3,225,0.1265133
3,240,0.1266996
3,255,0.1268501
3,270,0.1269905
3,285,0.1271335
3,300,0.1272854
3,315,0.1274493
3,330,0.1276272
3,345,0.12782
3,360,0.1280285
3,375,0.1282528
3,390,0.1284932
3,405,0.1287494
3,420,0.1290212
3,435,0.1293081
3,450,0.1296098
3,465,0.1299255
3,480,0.1302547
3,495,0.1305968
3,510,0.1309512
3,525,0.1313172
3,540,0.1316943
3,555,0.1320818
3,570,0.1324792
3,585,0.132886
3,600,0.1333015
3,615,0.1337253
3,630,0.1341568
3,645,0.1345956
3,660,0.1350411
3,675,0.1354928
3,690,0.1359504
3,705,0.1364132
3,720,0.136881
3,735,0.1373531
3,750,0.1378292
3,765,0.1383089
3,780,0.1387916
3,795,0.139277
3,810,0.1397646
3,825,0.1402541
3,840,0.1407449
3,855,0.1412367
3,870,0.1417291
3,885,0.1422216
3,900,0.1427138
3,915,0.1432054
3,930,0.143696
3,945,0.1441852
3,960,0.1446726
3,975,0.1451578
3,990,0.1456404
3,1005,0.1461202
3,1020,0.1465967
3,1035,0.1470695
3,1050,0.1475384
3,1065,0.1480031
3,1080,0.1484631
3,1095,0.1489182
3,1110,0.149368
3,1125,0.1498123
3,1140,0.1502508
3,1155,0.1506831
3,1170,0.151109
3,1185,0.1515282
3,1200,0.1519405
3,1215,0.1523456
3,1230,0.1527433
3,1245,0.1531332
3,1260,0.1535153
3,1275,0.1538892
3,1290,0.1542548
3,1305,0.1546118
3,1320,0.1549601
3,1335,0.1552995
3,1350,0.1556297
3,1365,0.1559507
3,1380,0.1562623
3,1395,0.1565643
3,1410,0.1568565
3,1425,0.1571389
3,1440,0.1574113
4,0,0
4,3,2.983748E-07
4,6,1.16175E-05
4,9,7.449871E-05
4,12,0.0002553787
4,15,0.0006380971
4,18,0.001315206
4,21,0.0023793
4,24,0.003915886
4,27,0.005998348
4,30,0.008684938
4,33,0.0120174
4,36,0.0160208
4,39,0.02070428
