"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,2.467831E-07
0,6,1.024066E-05
0,9,7.354569E-05
0,12,0.000279487
0,15,0.0007594209
0,18,0.001668129
0,21,0.003155591
0,24,0.005340251
0,27,0.008292503
0,30,0.0120307
0,33,0.01652721
0,36,0.0217192
0,39,0.02752026
0,42,0.0338307
0,45,0.04054571
0,48,0.04756111
0,51,0.05477727
0,54,0.06210167
0,57,0.06945053
0,60,0.07674953
0,63,0.08393399
0,66,0.09094875
0,69,0.09774777
0,72,0.1042935
0,75,0.1105564
0,78,0.1165137
0,81,0.1221492
0,84,0.1274522
0,87,0.1324169
0,90,0.1370416
0,93,0.141328
0,96,0.1452812
0,99,0.1489081
0,102,0.1522182
0,105,0.1552221
0,108,0.1579318
0,111,0.1603603
0,114,0.1625209
0,117,0.1644275
0,120,0.1660942
0,135,0.1713161
0,150,0.1725415
0,165,0.1711565
0,180,0.1682169
0,195,0.1644731
0,210,0.1604242
0,225,0.1563789
0,240,0.1525105
0,255,0.1489023
0,270,0.1455816
0,285,0.1425439
0,300,0.1397683
0,315,0.1372275
0,330,0.1348929
0,345,0.1327377
0,360,0.130738
0,375,0.1288729
0,390,0.1271248
0,405,0.125479
0,420,0.123923
0,435,0.1224466
0,450,0.121041
0,465,0.119699
0,480,0.1184145
0,495,0.1171823
0,510,0.1159981
0,525,0.1148581
0,540,0.1137591
0,555,0.1126983
0,570,0.1116732
0,585,0.1106817
0,600,0.1097218
0,615,0.1087919
0,630,0.1078903
0,645,0.1070157
0,660,0.1061667
0,675,0.1053423
0,690,0.1045412
0,705,0.1037625
0,720,0.1030051
0,735,0.1022682
0,750,0.1015509
0,765,0.1008523
0,780,0.1001717
0,795,0.0995083
0,810,0.0988614
0,825,0.09823027
0,840,0.09761426
0,855,0.09701271
0,870,0.09642498
0,885,0.09585048
0,900,0.0952886
0,915,0.09473879
0,930,0.09420048
0,945,0.09367315
0,960,0.09315627
0,975,0.09264934
0,990,0.09215187
0,1005,0.09166338
0,1020,0.09118342
0,1035,0.09071156
0,1050,0.09024733
0,1065,0.08979036
0,1080,0.08934021
0,1095,0.08889651
0,1110,0.08845889
0,1125,0.08802696
0,1140,0.08760039
0,1155,0.08717883
0,1170,0.08676197
0,1185,0.08634946
0,1200,0.08594104
0,1215,0.08553638
0,1230,0.08513522
0,1245,0.08473729
0,1260,0.08434232
0,1275,0.08395005
0,1290,0.08356027
0,1305,0.08317273
0,1320,0.08278722
0,1335,0.08240353
0,1350,0.08202145
0,1365,0.08164079
0,1380,0.08126139
0,1395,0.08088306
0,1410,0.08050562
0,1425,0.08012894
0,1440,0.07975286
0,1455,0.07937724
0,1470,0.07900195
0,1485,0.07862686
0,1500,0.07825186
0,1515,0.07787683
0,1530,0.07750167
0,1545,0.07712629
0,1560,0.07675058
0,1575,0.07637448
0,1590,0.07599789
0,1605,0.07562075
0,1620,0.075243
0,1635,0.07486456
0,1650,0.07448538
0,1665,0.07410542
0,1680,0.07372463
0,1695,0.07334296
0,1710,0.0729604
0,1725,0.07257689
0,1740,0.07219241
0,1755,0.07180694
0,1770,0.07142048
0,1785,0.07103298
0,1800,0.07064445
0,1815,0.07025488
0,1830,0.06986427
0,1845,0.06947262
0,1860,0.06907991
0,1875,0.06868618
0,1890,0.06829141
0,1905,0.06789563
0,1920,0.06749884
0,1935,0.06710106
0,1950,0.06670232
0,1965,0.06630263
0,1980,0.06590201
0,1995,0.0655005
0,2010,0.06509811
0,2025,0.06469487
0,2040,0.06429083
0,2055,0.063886
0,2070,0.06348042
0,2085,0.06307414
0,2100,0.06266718
0,2115,0.06225958
0,2130,0.06185138
0,2145,0.06144262
0,2160,0.06103335
0,2175,0.06062359
0,2190,0.06021341
0,2205,0.05980284
0,2220,0.05939192
0,2235,0.05898069
0,2250,0.05856922
0,2265,0.05815753
0,2280,0.05774568
0,2295,0.05733371
0,2310,0.05692167
0,2325,0.0565096
0,2340,0.05609756
0,2355,0.05568559
0,2370,0.05527374
0,2385,0.05486206
0,2400,0.05445059
0,2415,0.05403937
0,2430,0.05362847
0,2445,0.05321792
0,2460,0.05280777
0,2475,0.05239808
0,2490,0.05198888
0,2505,0.05158022
0,2520,0.05117214
0,2535,0.0507647
0,2550,0.05035794
0,2565,0.0499519
0,2580,0.04954663
0,2595,0.04914216
0,2610,0.04873855
0,2625,0.04833584
0,2640,0.04793407
0,2655,0.04753328
0,2670,0.04713352
0,2685,0.04673481
0,2700,0.04633721
0,2715,0.04594075
0,2730,0.04554547
0,2745,0.04515142
0,2760,0.04475861
0,2775,0.04436711
0,2790,0.04397693
0,2805,0.04358812
0,2820,0.04320071
0,2835,0.04281473
0,2850,0.04243022
0,2865,0.04204721
0,2880,0.04166573
0,2895,0.04128582
0,2910,0.0409075
0,2925,0.0405308
0,2940,0.04015576
0,2955,0.0397824
0,2970,0.03941074
0,2985,0.03904083
0,3000,0.03867267
1,0,0
1,3,3.436172E-07
1,6,1.675902E-05
1,9,0.0001258157
1,12,0.000475377
1,15,0.001265289
1,18,0.002724892
1,21,0.005089161
1,24,0.008573959
1,27,0.01335328
1,30,0.01954212
1,33,0.02718758
1,36,0.03626882
1,39,0.04670455
1,42,0.05836596
1,45,0.07109106
1,48,0.08469909
1,51,0.09900307
1,54,0.1138196
1,57,0.1289759
1,60,0.1443144
1,63,0.1596954
1,66,0.1749976
1,69,0.1901179
1,72,0.2049708
1,75,0.2194866
1,78,0.2336099
1,81,0.247298
1,84,0.2605189
1,87,0.2732501
1,90,0.2854771
1,93,0.2971919
1,96,0.3083921
1,99,0.3190798
1,102,0.3292607
