"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.0005724037
0,6,0.01419762
0,9,0.06703405
0,12,0.1762987
0,15,0.3488423
0,18,0.5857336
0,21,0.8850533
0,24,1.243421
0,27,1.656858
0,30,2.121243
0,33,2.632546
0,36,3.186909
0,39,3.780692
0,42,4.410471
0,45,5.073022
0,48,5.765314
0,51,6.484487
0,54,7.22784
0,57,7.992819
0,60,8.777
0,63,9.578088
0,66,10.3939
0,69,11.22234
0,72,12.06143
0,75,12.90927
0,78,13.76403
0,81,14.62394
0,84,15.48732
0,87,16.35251
0,90,17.21793
0,93,18.08201
0,96,18.94324
0,99,19.80013
0,102,20.65121
0,105,21.49504
0,108,22.33021
0,111,23.15532
0,114,23.96902
0,117,24.76995
0,120,25.55683
0,135,29.23852
0,150,32.41162
0,165,35.01083
0,180,37.04218
0,195,38.56603
0,210,39.6692
0,225,40.44215
0,240,40.96675
0,255,41.31107
0,270,41.52834
0,285,41.65821
0,300,41.72921
0,315,41.76109
0,330,41.76722
0,345,41.75642
0,360,41.73447
0,375,41.70511
0,390,41.67077
0,405,41.63306
0,420,41.59301
0,435,41.55133
0,450,41.50852
0,465,41.46489
0,480,41.4207
0,495,41.37612
0,510,41.33127
0,525,41.28626
0,540,41.24116
0,555,41.19603
0,570,41.15091
0,585,41.10585
0,600,41.06087
0,615,41.01599
0,630,40.97123
0,645,40.92662
0,660,40.88214
0,675,40.83783
0,690,40.79368
0,705,40.74969
0,720,40.70588
0,735,40.66224
0,750,40.61878
0,765,40.5755
0,780,40.53239
0,795,40.48945
0,810,40.4467
0,825,40.40411
0,840,40.3617
0,855,40.31947
0,870,40.27739
0,885,40.23549
0,900,40.19376
0,915,40.15219
0,930,40.11078
0,945,40.06953
0,960,40.02843
0,975,39.9875
0,990,39.94671
0,1005,39.90608
0,1020,39.86559
0,1035,39.82525
0,1050,39.78506
0,1065,39.745
0,1080,39.70509
0,1095,39.66531
0,1110,39.62567
0,1125,39.58616
0,1140,39.54678
0,1155,39.50753
0,1170,39.46841
0,1185,39.42941
0,1200,39.39054
0,1215,39.35178
0,1230,39.31315
0,1245,39.27464
0,1260,39.23623
0,1275,39.19794
0,1290,39.15977
0,1305,39.1217
0,1320,39.08374
0,1335,39.04589
0,1350,39.00814
0,1365,38.97049
0,1380,38.93295
0,1395,38.8955
0,1410,38.85816
0,1425,38.82091
0,1440,38.78375
0,1455,38.74669
0,1470,38.70972
0,1485,38.67284
0,1500,38.63605
0,1515,38.59935
0,1530,38.56274
0,1545,38.52621
0,1560,38.48977
0,1575,38.4534
0,1590,38.41712
0,1605,38.38092
0,1620,38.3448
0,1635,38.30876
0,1650,38.27279
0,1665,38.2369
0,1680,38.20108
0,1695,38.16534
0,1710,38.12967
0,1725,38.09407
0,1740,38.05854
0,1755,38.02308
0,1770,37.98769
0,1785,37.95237
0,1800,37.91711
0,1815,37.88192
0,1830,37.84679
0,1845,37.81173
0,1860,37.77673
0,1875,37.74179
0,1890,37.70692
0,1905,37.6721
0,1920,37.63734
0,1935,37.60265
0,1950,37.56801
0,1965,37.53344
0,1980,37.49891
0,1995,37.46445
0,2010,37.43004
0,2025,37.39568
0,2040,37.36138
0,2055,37.32714
0,2070,37.29295
0,2085,37.2588
0,2100,37.22472
0,2115,37.19068
0,2130,37.1567
0,2145,37.12276
0,2160,37.08888
0,2175,37.05505
0,2190,37.02126
0,2205,36.98752
0,2220,36.95383
0,2235,36.92019
0,2250,36.8866
0,2265,36.85305
0,2280,36.81955
0,2295,36.7861
0,2310,36.75269
0,2325,36.71933
0,2340,36.68601
0,2355,36.65273
0,2370,36.6195
0,2385,36.58632
0,2400,36.55318
0,2415,36.52008
0,2430,36.48702
0,2445,36.45401
0,2460,36.42103
0,2475,36.3881
0,2490,36.35521
0,2505,36.32237
0,2520,36.28956
0,2535,36.2568
0,2550,36.22407
0,2565,36.19139
0,2580,36.15874
0,2595,36.12614
0,2610,36.09357
0,2625,36.06105
0,2640,36.02856
0,2655,35.99611
0,2670,35.9637
0,2685,35.93134
0,2700,35.899
0,2715,35.86671
0,2730,35.83445
0,2745,35.80223
0,2760,35.77005
0,2775,35.73791
0,2790,35.7058
0,2805,35.67373
0,2820,35.6417
0,2835,35.6097
0,2850,35.57774
0,2865,35.54582
0,2880,35.51393
0,2895,35.48208
0,2910,35.45026
0,2925,35.41849
0,2940,35.38674
0,2955,35.35503
0,2970,35.32336
0,2985,35.29173
0,3000,35.26012
0,3015,35.22855
0,3030,35.19702
0,3045,35.16552
0,3060,35.13406
0,3075,35.10263
0,3090,35.07124
0,3105,35.03988
0,3120,35.00855
0,3135,34.97726
0,3150,34.946
0,3165,34.91478
0,3180,34.88359
0,3195,34.85243
0,3210,34.82131
0,3225,34.79022
0,3240,34.75917
0,3255,34.72815
0,3270,34.69715
0,3285,34.6662
0,3300,34.63528
0,3315,34.60439
0,3330,34.57353
0,3345,34.54271
0,3360,34.51192
0,3375,34.48116
0,3390,34.45044
0,3405,34.41974
0,3420,34.38908
0,3435,34.35846
0,3450,34.32786
0,3465,34.29729
0,3480,34.26677
0,3495,34.23627
0,3510,34.2058
0,3525,34.17537
0,3540,34.14496
0,3555,34.11459
0,3570,34.08425
0,3585,34.05394
0,3600,34.02367
0,3615,33.99343
0,3630,33.96321
0,3645,33.93303
0,3660,33.90288
0,3675,33.87276
0,3690,33.84268
0,3705,33.81262
0,3720,33.7826
0,3735,33.75261
0,3750,33.72264
0,3765,33.69271
0,3780,33.66281
0,3795,33.63294
0,3810,33.6031
0,3825,33.5733
0,3840,33.54352
0,3855,33.51377
0,3870,33.48406
0,3885,33.45437
0,3900,33.42472
0,3915,33.3951
0,3930,33.3655
0,3945,33.33594
0,3960,33.30641
0,3975,33.27691
0,3990,33.24743
0,4005,33.21799
0,4020,33.18858
0,4035,33.15919
0,4050,33.12984
0,4065,33.10052
0,4080,33.07123
0,4095,33.04197
0,4110,33.01273
0,4125,32.98353
0,4140,32.95436
0,4155,32.92522
0,4170,32.8961
0,4185,32.86702
0,4200,32.83796
0,4215,32.80894
0,4230,32.77994
0,4245,32.75098
0,4260,32.72204
0,4275,32.69313
0,4290,32.66425
0,4305,32.6354
0,4320,32.60658
0,4335,32.57779
0,4350,32.54903
0,4365,32.52029
0,4380,32.49159
0,4395,32.46291
0,4410,32.43427
0,4425,32.40565
0,4440,32.37706
0,4455,32.3485
0,4470,32.31997
0,4485,32.29146
0,4500,32.26299
0,4515,32.23454
0,4530,32.20612
0,4545,32.17773
0,4560,32.14937
0,4575,32.12104
0,4590,32.09273
0,4605,32.06445
0,4620,32.03621
0,4635,32.00798
0,4650,31.97979
0,4665,31.95163
0,4680,31.92349
0,4695,31.89538
0,4710,31.8673
0,4725,31.83925
0,4740,31.81122
0,4755,31.78322
0,4770,31.75525
0,4785,31.72731
0,4800,31.6994
0,4815,31.67151
0,4830,31.64365
0,4845,31.61582
0,4860,31.58801
0,4875,31.56023
0,4890,31.53248
0,4905,31.50476
0,4920,31.47706
0,4935,31.4494
0,4950,31.42175
0,4965,31.39414
0,4980,31.36655
0,4995,31.33899
0,5010,31.31146
0,5025,31.28395
0,5040,31.25647
0,5055,31.22902
0,5070,31.20159
0,5085,31.17419
0,5100,31.14682
0,5115,31.11947
0,5130,31.09215
0,5145,31.06486
0,5160,31.0376
0,5175,31.01035
0,5190,30.98314
0,5205,30.95595
0,5220,30.92879
0,5235,30.90166
0,5250,30.87455
0,5265,30.84747
0,5280,30.82041
0,5295,30.79338
0,5310,30.76638
0,5325,30.7394
0,5340,30.71245
0,5355,30.68552
0,5370,30.65862
0,5385,30.63175
0,5400,30.6049
0,5415,30.57808
0,5430,30.55128
0,5445,30.52451
0,5460,30.49776
0,5475,30.47104
0,5490,30.44435
0,5505,30.41768
0,5520,30.39104
0,5535,30.36442
0,5550,30.33783
0,5565,30.31126
0,5580,30.28472
0,5595,30.2582
0,5610,30.23171
0,5625,30.20525
0,5640,30.1788
0,5655,30.15239
0,5670,30.126
0,5685,30.09963
0,5700,30.07329
0,5715,30.04698
0,5730,30.02069
0,5745,29.99442
0,5760,29.96818
0,5775,29.94196
0,5790,29.91577
0,5805,29.88961
0,5820,29.86346
0,5835,29.83735
0,5850,29.81125
0,5865,29.78519
0,5880,29.75914
0,5895,29.73312
0,5910,29.70713
0,5925,29.68116
0,5940,29.65521
0,5955,29.62929
0,5970,29.6034
0,5985,29.57752
0,6000,29.55167
0,6015,29.52585
0,6030,29.50005
0,6045,29.47427
0,6060,29.44852
0,6075,29.42279
0,6090,29.39709
0,6105,29.37141
0,6120,29.34575
0,6135,29.32012
0,6150,29.29452
0,6165,29.26893
0,6180,29.24337
0,6195,29.21783
0,6210,29.19232
0,6225,29.16683
0,6240,29.14137
0,6255,29.11592
0,6270,29.09051
0,6285,29.06511
0,6300,29.03974
0,6315,29.01439
0,6330,28.98907
0,6345,28.96377
0,6360,28.93849
0,6375,28.91324
0,6390,28.88801
0,6405,28.8628
0,6420,28.83762
0,6435,28.81246
0,6450,28.78732
0,6465,28.76221
0,6480,28.73711
0,6495,28.71205
0,6510,28.687
0,6525,28.66198
0,6540,28.63698
0,6555,28.612
0,6570,28.58705
0,6585,28.56212
0,6600,28.53721
0,6615,28.51233
0,6630,28.48747
0,6645,28.46263
0,6660,28.43781
0,6675,28.41302
0,6690,28.38825
0,6705,28.3635
0,6720,28.33878
0,6735,28.31407
0,6750,28.28939
0,6765,28.26473
0,6780,28.2401
0,6795,28.21549
0,6810,28.1909
0,6825,28.16633
0,6840,28.14178
0,6855,28.11726
0,6870,28.09276
0,6885,28.06828
0,6900,28.04383
0,6915,28.01939
0,6930,27.99498
0,6945,27.97059
0,6960,27.94622
0,6975,27.92188
0,6990,27.89756
0,7005,27.87325
0,7020,27.84898
0,7035,27.82472
0,7050,27.80048
0,7065,27.77627
0,7080,27.75208
0,7095,27.72791
0,7110,27.70376
0,7125,27.67964
0,7140,27.65553
0,7155,27.63145
0,7170,27.60739
0,7185,27.58335
0,7200,27.55934
0,7215,27.53534
0,7230,27.51137
0,7245,27.48742
0,7260,27.46349
0,7275,27.43958
0,7290,27.41569
0,7305,27.39183
0,7320,27.36798
0,7335,27.34416
0,7350,27.32036
0,7365,27.29658
0,7380,27.27282
0,7395,27.24908
0,7410,27.22537
0,7425,27.20167
0,7440,27.178
0,7455,27.15435
0,7470,27.13072
0,7485,27.10711
0,7500,27.08352
0,7515,27.05995
0,7530,27.03641
0,7545,27.01288
0,7560,26.98938
0,7575,26.9659
0,7590,26.94243
0,7605,26.91899
0,7620,26.89557
0,7635,26.87218
0,7650,26.8488
0,7665,26.82544
0,7680,26.8021
0,7695,26.77879
0,7710,26.7555
0,7725,26.73222
0,7740,26.70897
0,7755,26.68574
0,7770,26.66253
0,7785,26.63934
0,7800,26.61617
0,7815,26.59302
0,7830,26.56989
0,7845,26.54678
0,7860,26.52369
0,7875,26.50063
0,7890,26.47758
0,7905,26.45456
0,7920,26.43155
0,7935,26.40857
0,7950,26.3856
0,7965,26.36266
0,7980,26.33973
0,7995,26.31683
0,8010,26.29395
0,8025,26.27109
0,8040,26.24824
0,8055,26.22542
0,8070,26.20262
0,8085,26.17984
0,8100,26.15708
0,8115,26.13434
0,8130,26.11162
0,8145,26.08891
0,8160,26.06623
0,8175,26.04358
0,8190,26.02094
0,8205,25.99831
0,8220,25.97572
0,8235,25.95313
0,8250,25.93057
0,8265,25.90804
0,8280,25.88552
0,8295,25.86301
0,8310,25.84053
0,8325,25.81807
0,8340,25.79563
0,8355,25.77321
0,8370,25.75081
0,8385,25.72843
0,8400,25.70607
0,8415,25.68373
0,8430,25.66141
0,8445,25.6391
0,8460,25.61682
0,8475,25.59456
0,8490,25.57232
0,8505,25.55009
0,8520,25.52789
0,8535,25.50571
0,8550,25.48354
0,8565,25.4614
0,8580,25.43927
0,8595,25.41717
0,8610,25.39508
0,8625,25.37301
0,8640,25.35097
